original_character_resp.keys,trials_character_original.thisRepN,trials_character_original.thisTrialN,trials_character_original.thisN,trials_character_original.thisIndex,trials_character_original.ran,original_character_options,correct_character_options,id,date,expName,psychopyVersion,OS,frameRate,fbclid,edited_character_resp.keys,edited_character_resp.corr,edited_character_resp.rt,trials_character_edited.thisRepN,trials_character_edited.thisTrialN,trials_character_edited.thisN,trials_character_edited.thisIndex,trials_character_edited.ran,edited_character_options,seed_response.keys,seed_response.corr,seed_response.rt,trials_seeds.thisRepN,trials_seeds.thisTrialN,trials_seeds.thisN,trials_seeds.thisIndex,trials_seeds.ran,seed_options,correctSeednumber,tree_response.keys,tree_response.corr,tree_response.rt,trials_tree.thisRepN,trials_tree.thisTrialN,trials_tree.thisN,trials_tree.thisIndex,trials_tree.ran,tree_options,correctTreenumber,token_original_resp.keys,token_original_resp.corr,trials_tokens_original.thisRepN,trials_tokens_original.thisTrialN,trials_tokens_original.thisN,trials_tokens_original.thisIndex,trials_tokens_original.ran,original_token_options,correct_token_options,token_edited_resp.keys,token_edited_resp.corr,token_edited_resp.rt,trials_tokens_edited.thisRepN,trials_tokens_edited.thisTrialN,trials_tokens_edited.thisN,trials_tokens_edited.thisIndex,trials_tokens_edited.ran,edited_token_options,gaze_response.keys,gaze_response.corr,gaze_response.rt,key_resp_6.keys,trials_gaze.thisRepN,trials_gaze.thisTrialN,trials_gaze.thisN,trials_gaze.thisIndex,trials_gaze.ran,options,correctGazeanswer,landscapeA_resp.keys,landscapeA_resp.corr,trials_sight_color.thisRepN,trials_sight_color.thisTrialN,trials_sight_color.thisN,trials_sight_color.thisIndex,trials_sight_color.ran,landscape_options,correct_landscape_options,landscapeB_resp.keys,landscapeB_resp.corr,landscapeB_resp.rt,trials_sight_black.thisRepN,trials_sight_black.thisTrialN,trials_sight_black.thisN,trials_sight_black.thisIndex,trials_sight_black.ran
,,,,,,,,hej7,2024-03-17_20h09.40.213,board game,2021.1.2,MacIntel,62.5,IwAR3Ldx4u340HjeUn6Mej_VVqLxLJTW-l_cEIadiRFor4sOFx01dHqWqjxG8,,,,,,,,,,,,,,,,,,,,2,1,2.738,0,8,8,9,1,original_green2.png,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,hej7,2024-03-17_20h09.40.213,board game,2021.1.2,MacIntel,62.5,IwAR3Ldx4u340HjeUn6Mej_VVqLxLJTW-l_cEIadiRFor4sOFx01dHqWqjxG8,,,,,,,,,,,,,,,,,,,,3,0,3.413,0,9,9,15,1,edited_orange2.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,hej7,2024-03-17_20h09.40.213,board game,2021.1.2,MacIntel,62.5,IwAR3Ldx4u340HjeUn6Mej_VVqLxLJTW-l_cEIadiRFor4sOFx01dHqWqjxG8,,,,,,,,,,,,,,,,,,,,2,1,3.311,0,10,10,4,1,original_blue1.png,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,hej7,2024-03-17_20h09.40.213,board game,2021.1.2,MacIntel,62.5,IwAR3Ldx4u340HjeUn6Mej_VVqLxLJTW-l_cEIadiRFor4sOFx01dHqWqjxG8,,,,,,,,,,,,,,,,,,,,3,1,2.959,0,11,11,14,1,edited_orange1.png,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,hej7,2024-03-17_20h09.40.213,board game,2021.1.2,MacIntel,62.5,IwAR3Ldx4u340HjeUn6Mej_VVqLxLJTW-l_cEIadiRFor4sOFx01dHqWqjxG8,,,,,,,,,,,,,,,,,,,,4,1,3.614,0,12,12,7,1,edited_blue2.png,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,hej7,2024-03-17_20h09.40.213,board game,2021.1.2,MacIntel,62.5,IwAR3Ldx4u340HjeUn6Mej_VVqLxLJTW-l_cEIadiRFor4sOFx01dHqWqjxG8,,,,,,,,,,,,,,,,,,,,2,0,2.997,0,13,13,10,1,edited_green1.png,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,hej7,2024-03-17_20h09.40.213,board game,2021.1.2,MacIntel,62.5,IwAR3Ldx4u340HjeUn6Mej_VVqLxLJTW-l_cEIadiRFor4sOFx01dHqWqjxG8,,,,,,,,,,,,,,,,,,,,3,1,4.608,0,14,14,2,1,edited_gulpink1.png,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,hej7,2024-03-17_20h09.40.213,board game,2021.1.2,MacIntel,62.5,IwAR3Ldx4u340HjeUn6Mej_VVqLxLJTW-l_cEIadiRFor4sOFx01dHqWqjxG8,,,,,,,,,,,,,,,,,,,,4,1,2.731,0,15,15,1,1,original_gulpink2.png,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,hej7,2024-03-17_20h09.40.213,board game,2021.1.2,MacIntel,62.5,IwAR3Ldx4u340HjeUn6Mej_VVqLxLJTW-l_cEIadiRFor4sOFx01dHqWqjxG8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,5,1,original_tokens_greens_h.png,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,hej7,2024-03-17_20h09.40.213,board game,2021.1.2,MacIntel,62.5,IwAR3Ldx4u340HjeUn6Mej_VVqLxLJTW-l_cEIadiRFor4sOFx01dHqWqjxG8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,8,1,original_tokens_greens_n.png,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,hej7,2024-03-17_20h09.40.213,board game,2021.1.2,MacIntel,62.5,IwAR3Ldx4u340HjeUn6Mej_VVqLxLJTW-l_cEIadiRFor4sOFx01dHqWqjxG8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,2,3,1,original_tokens_blues_b.png,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,hej7,2024-03-17_20h09.40.213,board game,2021.1.2,MacIntel,62.5,IwAR3Ldx4u340HjeUn6Mej_VVqLxLJTW-l_cEIadiRFor4sOFx01dHqWqjxG8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3,3,4,1,original_tokens_blues_o.png,o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,hej7,2024-03-17_20h09.40.213,board game,2021.1.2,MacIntel,62.5,IwAR3Ldx4u340HjeUn6Mej_VVqLxLJTW-l_cEIadiRFor4sOFx01dHqWqjxG8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4,4,9,1,original_tokens_greens_g.png,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,hej7,2024-03-17_20h09.40.213,board game,2021.1.2,MacIntel,62.5,IwAR3Ldx4u340HjeUn6Mej_VVqLxLJTW-l_cEIadiRFor4sOFx01dHqWqjxG8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,5,6,1,original_tokens_greens_a.png,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,hej7,2024-03-17_20h09.40.213,board game,2021.1.2,MacIntel,62.5,IwAR3Ldx4u340HjeUn6Mej_VVqLxLJTW-l_cEIadiRFor4sOFx01dHqWqjxG8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,6,6,2,1,original_tokens_blues_d.png,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,hej7,2024-03-17_20h09.40.213,board game,2021.1.2,MacIntel,62.5,IwAR3Ldx4u340HjeUn6Mej_VVqLxLJTW-l_cEIadiRFor4sOFx01dHqWqjxG8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,7,7,0,1,original_tokens_blues_k.png,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,hej7,2024-03-17_20h09.40.213,board game,2021.1.2,MacIntel,62.5,IwAR3Ldx4u340HjeUn6Mej_VVqLxLJTW-l_cEIadiRFor4sOFx01dHqWqjxG8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,8,8,7,1,original_tokens_greens_e.png,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,hej7,2024-03-17_20h09.40.213,board game,2021.1.2,MacIntel,62.5,IwAR3Ldx4u340HjeUn6Mej_VVqLxLJTW-l_cEIadiRFor4sOFx01dHqWqjxG8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,9,9,1,1,original_tokens_blues_m.png,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,hej7,2024-03-17_20h09.40.213,board game,2021.1.2,MacIntel,62.5,IwAR3Ldx4u340HjeUn6Mej_VVqLxLJTW-l_cEIadiRFor4sOFx01dHqWqjxG8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,g,1,5.188,0,0,0,9,1,edited_tokens_greens_g.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
