"id","age","colorblind","correctGazeanswer","diff_remember","diff_understand","freq_game","gender","played_tang","options","gaze_response.corr","gaze_response.keys","RT","trials_gaze.thisN","manipulation","stimulus_type"
"haps123",24,"No","up","Neither nor","Strongly agree","Monthly","Female","No","gaze5_plain.png","1","up",1.203,12,"original","gaze5"
"haps123",24,"No","left","Neither nor","Strongly agree","Monthly","Female","No","gaze4_cue.png","1","left",1.241,13,"edited","gaze4"
"hej7",25,"No","right","Strongly agree","Agree","Monthly","Female","No","gaze7_plain.png","1","right",5.263,0,"original","gaze7"
"hej7",25,"No","right","Strongly agree","Agree","Monthly","Female","No","gaze3_plain.png","1","right",2.864,1,"original","gaze3"
"hej7",25,"No","up","Strongly agree","Agree","Monthly","Female","No","gaze5_plain.png","1","up",1.836,2,"original","gaze5"
"hej7",25,"No","up","Strongly agree","Agree","Monthly","Female","No","gaze5_cue.png","1","up",3.305,3,"edited","gaze5"
"hej7",25,"No","right","Strongly agree","Agree","Monthly","Female","No","gaze6_plain.png","1","right",1.14,4,"original","gaze6"
"hej7",25,"No","right","Strongly agree","Agree","Monthly","Female","No","gaze7_cue.png","1","right",2.336,5,"edited","gaze7"
"hej7",25,"No","left","Strongly agree","Agree","Monthly","Female","No","gaze2_plain.png","1","left",2.982,6,"original","gaze2"
"hej7",25,"No","left","Strongly agree","Agree","Monthly","Female","No","gaze4_plain.png","1","left",1.995,7,"original","gaze4"
"hej7",25,"No","right","Strongly agree","Agree","Monthly","Female","No","gaze6_cue.png","1","right",1.008,8,"edited","gaze6"
"hej7",25,"No","left","Strongly agree","Agree","Monthly","Female","No","gaze2_cue.png","1","left",1.155,9,"edited","gaze2"
"hej7",25,"No","left","Strongly agree","Agree","Monthly","Female","No","gaze1_cue.png","1","left",0.936,10,"edited","gaze1"
"hej7",25,"No","right","Strongly agree","Agree","Monthly","Female","No","gaze3_cue.png","1","right",1.08,11,"edited","gaze3"
"hej7",25,"No","left","Strongly agree","Agree","Monthly","Female","No","gaze1_plain.png","1","left",0.802,12,"original","gaze1"
"hej7",25,"No","left","Strongly agree","Agree","Monthly","Female","No","gaze4_cue.png","1","left",1.292,13,"edited","gaze4"
"Jegor62",61,"No","right","Neither nor","Neither nor","Monthly","Male","No","gaze6_plain.png","1","right",1.142,2,"original","gaze6"
"Jegor62",61,"No","left","Neither nor","Neither nor","Monthly","Male","No","gaze4_cue.png","1","left",7.9811,3,"edited","gaze4"
"Jegor62",61,"No","right","Neither nor","Neither nor","Monthly","Male","No","gaze3_cue.png","1","right",14.6638,4,"edited","gaze3"
"Jegor62",61,"No","left","Neither nor","Neither nor","Monthly","Male","No","gaze1_plain.png","1","left",2.419,5,"original","gaze1"
"Jegor62",61,"No","left","Neither nor","Neither nor","Monthly","Male","No","gaze1_cue.png","1","left",7.1244,0,"edited","gaze1"
"Jegor62",61,"No","up","Neither nor","Neither nor","Monthly","Male","No","gaze5_cue.png","1","up",7.3338,1,"edited","gaze5"
"Jegor62",61,"No","left","Neither nor","Neither nor","Monthly","Male","No","gaze4_plain.png","1","left",1.6584,8,"original","gaze4"
"Jegor62",61,"No","up","Neither nor","Neither nor","Monthly","Male","No","gaze5_plain.png","1","up",2.9755,9,"original","gaze5"
"Jegor62",61,"No","left","Neither nor","Neither nor","Monthly","Male","No","gaze2_plain.png","0","down",12.7625,6,"original","gaze2"
"Jegor62",61,"No","left","Neither nor","Neither nor","Monthly","Male","No","gaze2_cue.png","1","left",1.5842,7,"edited","gaze2"
"Jegor62",61,"No","right","Neither nor","Neither nor","Monthly","Male","No","gaze7_cue.png","1","right",3.1108,12,"edited","gaze7"
"Jegor62",61,"No","right","Neither nor","Neither nor","Monthly","Male","No","gaze3_plain.png","1","right",9.5441,13,"original","gaze3"
"Jegor62",61,"No","right","Neither nor","Neither nor","Monthly","Male","No","gaze6_cue.png","1","right",1.8586,11,"edited","gaze6"
