"id","age","colorblind","correct_character_options","diff_remember","diff_understand","freq_game","gender","played_tang","edited_character_resp.keys","original_character_resp.keys","character_options","RT","trials_character.thisN","character_resp.corr","manipulation","character_type"
"Ben24jada",56,"No","d","Neither nor","Disagree","Monthly","Female","No",NA,"d","original_architect.png",4.9246,3,1,"original","architect"
"gyiu98",22,"No","b","Disagree","Disagree","Monthly","Female","No","b",NA,"edited_hermit.png",2.197,2,1,"edited","hermit"
"gyiu98",22,"No","a","Disagree","Disagree","Monthly","Female","No","a",NA,"edited_monk.png",1.213,3,1,"edited","monk"
"gyiu98",22,"No","c","Disagree","Disagree","Monthly","Female","No","c",NA,"edited_poet.png",9.057,0,1,"edited","poet"
"gyiu98",22,"No","d","Disagree","Disagree","Monthly","Female","No","d",NA,"edited_architect.png",1.67,1,1,"edited","architect"
"K5gu78",23,"No","b","Neither nor","Neither nor","Semi-annually","Female","No","b",NA,"edited_hermit.png",5.0198,0,1,"edited","hermit"
"K5gu78",23,"No","c","Neither nor","Neither nor","Semi-annually","Female","No","a",NA,"edited_poet.png",1.791,1,0,"edited","poet"
"K5gu78",23,"No","a","Neither nor","Neither nor","Semi-annually","Female","No","b",NA,"edited_monk.png",4.9615,2,0,"edited","monk"
"K5gu78",23,"No","d","Neither nor","Neither nor","Semi-annually","Female","No","d",NA,"edited_architect.png",1.571,3,1,"edited","architect"
"KleinOgAbel",24,"No","c","Disagree","Strongly disagree","Weekly","Male","Yes","c",NA,"edited_poet.png",6.9785,0,1,"edited","poet"
"KleinOgAbel",24,"No","b","Disagree","Strongly disagree","Weekly","Male","Yes","b",NA,"edited_hermit.png",5.8831,1,1,"edited","hermit"
"KleinOgAbel",24,"No","a","Disagree","Strongly disagree","Weekly","Male","Yes","a",NA,"edited_monk.png",2.4682,2,1,"edited","monk"
"KleinOgAbel",24,"No","d","Disagree","Strongly disagree","Weekly","Male","Yes","d",NA,"edited_architect.png",1.5296,3,1,"edited","architect"
"M123",26,"No","d","Disagree","Disagree","Every 3rd month","Female","No","d",NA,"edited_architect.png",1.998,0,1,"edited","architect"
"M123",26,"No","a","Disagree","Disagree","Every 3rd month","Female","No","a",NA,"edited_monk.png",1.486,1,1,"edited","monk"
"M123",26,"No","b","Disagree","Disagree","Every 3rd month","Female","No","b",NA,"edited_hermit.png",1.567,2,1,"edited","hermit"
"M123",26,"No","c","Disagree","Disagree","Every 3rd month","Female","No","c",NA,"edited_poet.png",1.006,3,1,"edited","poet"
"tohitu1",24,"No","c","Strongly agree","Neither nor","Weekly","Female","Yes",NA,"c","original_poet.png",1.2351,2,1,"original","poet"
"tohitu1",24,"No","d","Strongly agree","Neither nor","Weekly","Female","Yes",NA,"d","original_architect.png",1.4058,3,1,"original","architect"
"tohitu1",24,"No","a","Strongly agree","Neither nor","Weekly","Female","Yes",NA,"b","original_monk.png",4.044,0,0,"original","monk"
"tohitu1",24,"No","b","Strongly agree","Neither nor","Weekly","Female","Yes",NA,"b","original_hermit.png",3.5194,1,1,"original","hermit"
